iter	Passed	Remaining
0	13	13639
1	26	12988
2	37	12604
3	49	12414
4	61	12318
5	73	12220
6	85	12150
7	97	12111
8	109	12074
9	121	12048
10	133	11999
11	145	11954
12	156	11904
13	169	11904
14	180	11865
15	192	11841
16	204	11808
17	215	11754
18	226	11713
19	237	11660
20	249	11639
21	261	11615
22	273	11602
23	284	11580
24	296	11546
25	307	11514
26	319	11497
27	330	11479
28	342	11477
29	353	11443
30	365	11424
31	377	11424
32	391	11465
33	403	11476
34	416	11484
35	428	11474
36	441	11488
37	452	11457
38	464	11452
39	477	11469
40	491	11503
41	504	11512
42	517	11519
43	531	11551
44	545	11566
45	558	11574
46	570	11568
47	583	11569
48	596	11578
49	608	11561
50	620	11551
51	632	11535
52	644	11511
53	656	11506
54	668	11486
55	680	11474
56	692	11460
57	704	11437
58	715	11415
59	726	11387
60	738	11368
61	751	11373
62	767	11410
63	781	11433
64	803	11559
65	815	11545
66	828	11532
67	839	11505
68	851	11486
69	863	11478
70	876	11466
71	888	11445
72	900	11430
73	912	11420
74	924	11401
75	936	11387
76	948	11365
77	960	11351
78	972	11333
79	983	11310
80	996	11304
81	1008	11290
82	1020	11277
83	1033	11273
84	1048	11283
85	1061	11283
86	1073	11270
87	1086	11259
88	1100	11261
89	1113	11259
90	1127	11263
91	1144	11296
92	1162	11334
93	1181	11386
94	1198	11414
95	1213	11426
96	1231	11468
97	1247	11480
98	1262	11486
99	1278	11502
100	1292	11507
101	1309	11532
102	1326	11553
103	1343	11577
104	1375	11722
105	1391	11736
106	1406	11735
107	1422	11746
108	1438	11755
109	1453	11757
110	1466	11747
111	1481	11748
112	1498	11760
113	1514	11772
114	1530	11776
115	1546	11782
116	1561	11788
117	1577	11793
118	1595	11808
119	1612	11826
120	1628	11833
121	1644	11836
122	1662	11857
123	1677	11852
124	1690	11833
125	1702	11812
126	1715	11795
127	1728	11775
128	1741	11758
129	1753	11735
130	1765	11709
131	1776	11684
132	1789	11666
133	1802	11651
134	1827	11712
135	1840	11689
136	1852	11670
137	1865	11650
138	1877	11628
139	1890	11615
140	1905	11608
141	1919	11598
142	1931	11576
143	1944	11557
144	1956	11534
145	1968	11516
146	1981	11497
147	1994	11480
148	2007	11467
149	2023	11464
150	2036	11450
151	2051	11445
152	2063	11426
153	2077	11411
154	2090	11395
155	2104	11388
156	2120	11383
157	2132	11362
158	2146	11355
159	2160	11341
160	2172	11320
161	2184	11302
162	2197	11285
163	2209	11263
164	2222	11245
165	2234	11224
166	2245	11202
167	2257	11181
168	2270	11165
169	2283	11147
170	2294	11122
171	2307	11106
172	2318	11083
173	2333	11075
174	2344	11054
175	2357	11036
176	2369	11016
177	2381	10998
178	2394	10983
179	2407	10967
180	2419	10948
181	2432	10932
182	2446	10920
183	2457	10900
184	2470	10882
185	2482	10864
186	2493	10842
187	2505	10820
188	2515	10793
189	2526	10772
190	2539	10756
191	2552	10740
192	2563	10717
193	2575	10698
194	2586	10679
195	2598	10657
196	2611	10644
197	2623	10624
198	2635	10607
199	2647	10591
200	2661	10578
201	2673	10561
202	2685	10544
203	2697	10523
204	2709	10506
205	2722	10491
206	2735	10480
207	2751	10477
208	2765	10468
209	2779	10456
210	2791	10439
211	2805	10426
212	2818	10414
213	2831	10400
214	2845	10388
215	2858	10376
216	2871	10361
217	2884	10346
218	2896	10328
219	2908	10313
220	2921	10296
221	2934	10283
222	2946	10265
223	2957	10245
224	2970	10231
225	2983	10217
226	2994	10198
227	3007	10183
228	3021	10171
229	3032	10153
230	3044	10135
231	3056	10119
