iter	Logloss
0	0.6516821249
1	0.6203372577
2	0.5957895039
3	0.5772738691
4	0.5608149705
5	0.5466248884
6	0.5309709297
7	0.5211517042
8	0.5105280169
9	0.5020229866
10	0.4931584814
11	0.4864535116
12	0.4810340294
13	0.4758679307
14	0.4716058769
15	0.4685238066
16	0.4656492561
17	0.462469489
18	0.4598403835
19	0.4576896518
20	0.4557084671
21	0.4529148555
22	0.4511292595
23	0.4494383593
24	0.4476230792
25	0.4467199323
26	0.4446582686
27	0.4435166154
28	0.4422187136
29	0.4410505985
30	0.4401161276
31	0.4394346374
32	0.4386138976
33	0.4376832174
34	0.4367741311
35	0.4357779711
36	0.4350012501
37	0.4342835998
38	0.4338717048
39	0.4335083577
40	0.4330789902
41	0.4328136766
42	0.4319337665
43	0.4315133957
44	0.4310716544
45	0.4302740973
46	0.4298495212
47	0.4294314188
48	0.4290545114
49	0.4287218086
50	0.428393604
51	0.4281734195
52	0.4274993094
53	0.4271783774
54	0.4261617584
55	0.4255554645
56	0.4250225553
57	0.4243691309
58	0.4239530868
59	0.4236351491
60	0.4234980943
61	0.4231895675
62	0.4230044323
63	0.422761589
64	0.4223613905
65	0.421951533
66	0.4213550205
67	0.4210053572
68	0.4207501618
69	0.4203527289
70	0.4199000865
71	0.4194841833
72	0.4191387091
73	0.4187924643
74	0.4179522235
75	0.4176877927
76	0.4175054299
77	0.417080117
78	0.4168492202
79	0.4166513809
80	0.4164437969
81	0.4162902381
82	0.4159342765
83	0.4157660145
84	0.4157048518
85	0.4154275577
86	0.4152238107
87	0.4149312072
88	0.4144370905
89	0.4143417368
90	0.4141916985
91	0.4139762194
92	0.4135192775
93	0.4133315849
94	0.413226792
95	0.4130260965
96	0.4128498953
97	0.4122125937
98	0.4120252985
99	0.4118172739
