iter	Passed	Remaining
0	143	14255
1	144	7098
2	145	4711
3	146	3518
4	147	2802
5	148	2325
6	149	1984
7	150	1728
8	151	1529
9	152	1370
10	153	1238
11	153	1129
12	154	1036
13	155	956
14	156	887
15	157	826
16	158	773
17	159	725
18	160	682
19	161	644
20	162	609
21	162	577
22	163	548
23	164	521
24	165	497
25	166	474
26	167	453
27	168	433
28	169	414
29	170	397
30	171	381
31	172	366
32	173	351
33	174	338
34	175	325
35	176	313
36	177	301
37	177	290
38	178	279
39	179	269
40	180	259
41	181	250
42	182	241
43	183	233
44	184	225
45	185	217
46	185	209
47	187	202
48	188	195
49	189	189
50	190	182
51	191	176
52	192	170
53	192	164
54	193	158
55	194	152
56	195	147
57	196	142
58	197	137
59	198	132
60	199	127
61	200	122
62	201	118
63	201	113
64	202	109
65	203	105
66	204	100
67	205	96
68	206	92
69	207	89
70	208	85
71	209	81
72	210	77
73	211	74
74	212	70
75	213	67
76	214	64
77	215	60
78	216	57
79	218	54
80	218	51
81	220	48
82	221	45
83	222	42
84	223	39
85	224	36
86	225	33
87	226	30
88	227	28
89	228	25
90	229	22
91	230	20
92	231	17
93	233	14
94	234	12
95	235	9
96	236	7
97	237	4
98	238	2
99	239	0
